UserId,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore,score,tier
261261.0,3651,22,1439.0400000000004,4,4,4,444,12,Bronze
261282.0,3288,24,1428.36,1,4,4,144,9,Bronze
261324.0,3306,354,41484.3,2,1,1,211,4,Gold
261345.0,3307,8,1106.6399999999999,2,4,4,244,10,Bronze
261366.0,3342,116,8311.380000000001,3,2,2,322,7,Silver
261387.0,3528,52,3951.96,4,3,3,433,10,Bronze
261408.0,3329,44,3727.6200000000003,2,3,3,233,8,Silver
261429.0,3307,382,33722.52,2,1,1,211,4,Gold
261450.0,3441,16,1642.32,4,4,4,444,12,Bronze
261471.0,3295,710,74147.4,1,1,1,111,3,Gold
261492.0,3301,46,3552.7200000000003,1,3,3,133,7,Silver
261513.0,3419,86,5865.719999999998,3,2,2,322,7,Silver
261534.0,3338,60,9.094947017729282e-13,3,3,4,334,10,Bronze
261555.0,3358,180,20477.16,3,2,1,321,6,Silver
261576.0,3329,258,26159.7,2,1,1,211,4,Gold
261597.0,3343,136,15903.660000000002,3,2,1,321,6,Silver
261618.0,3356,76,7857.839999999999,3,3,2,332,8,Silver
261681.0,3379,70,6855.719999999999,3,3,2,332,8,Silver
261702.0,3287,144,9321.36,1,2,2,122,5,Silver
261723.0,3331,176,10817.58,2,2,2,222,6,Silver
261744.0,3295,58,10038.599999999999,1,3,2,132,6,Silver
261765.0,3292,102,6090.599999999999,1,2,2,122,5,Silver
261828.0,3428,80,6006.120000000001,4,3,2,432,9,Bronze
261891.0,3287,1062,155444.09999999998,1,1,1,111,3,Gold
261912.0,3315,782,51683.7,2,1,1,211,4,Gold
261933.0,3314,358,23656.74,2,1,1,211,4,Gold
261954.0,3302,914,59055.36,2,1,1,211,4,Gold
261975.0,3338,72,6003.24,3,3,2,332,8,Silver
261996.0,3286,528,54273.66,1,1,1,111,3,Gold
262017.0,3307,616,108733.44,2,1,1,211,4,Gold
262038.0,3288,72,5644.799999999999,1,3,2,132,6,Silver
262059.0,3288,70,3962.0399999999995,1,3,3,133,7,Silver
262080.0,3313,308,27219.0,2,1,1,211,4,Gold
262101.0,3307,436,46387.5,2,1,1,211,4,Gold
262143.0,3302,162,19303.8,2,2,1,221,5,Silver
262164.0,3317,700,37285.92,2,1,1,211,4,Gold
262248.0,3294,110,10771.559999999998,1,2,2,122,5,Silver
262269.0,3621,30,2775.6000000000004,4,4,3,443,11,Bronze
262290.0,3290,490,44967.72,1,1,1,111,3,Gold
262311.0,3323,52,3819.96,2,3,3,233,8,Silver
262332.0,3348,40,2183.76,3,3,4,334,10,Bronze
262353.0,3450,46,3457.5599999999995,4,3,3,433,10,Bronze
262374.0,3294,168,9448.439999999999,1,2,2,122,5,Silver
262437.0,3366,28,8655.0,3,4,2,342,9,Bronze
262458.0,3306,46,3348.2999999999997,2,3,3,233,8,Silver
262500.0,3308,130,34917.0,2,2,1,221,5,Silver
262521.0,3600,320,17344.26,4,1,1,411,6,Silver
262542.0,3380,294,30859.920000000006,3,1,1,311,5,Silver
262563.0,3622,2,-9323.28,4,4,4,444,12,Bronze
262584.0,3303,30,945.3600000000001,2,4,4,244,10,Bronze
262605.0,3586,2,-37.26,4,4,4,444,12,Bronze
262626.0,3517,46,609.6,4,3,4,434,11,Bronze
262647.0,3419,46,10446.720000000001,3,3,2,332,8,Silver
262668.0,3311,138,3307.2000000000003,2,2,3,223,7,Silver
262689.0,3569,14,1463.76,4,4,4,444,12,Bronze
262710.0,3427,66,8146.44,4,3,2,432,9,Bronze
262752.0,3351,68,1145.1000000000001,3,3,4,334,10,Bronze
262773.0,3369,72,4869.12,3,3,3,333,9,Bronze
262794.0,3552,102,8441.519999999999,4,2,2,422,8,Silver
262815.0,3638,32,3180.7200000000003,4,4,3,443,11,Bronze
262836.0,3362,52,10903.92,3,3,2,332,8,Silver
262857.0,3313,572,20448.96,2,1,1,211,4,Gold
262878.0,3285,248,17060.16,1,1,1,111,3,Gold
262899.0,3348,36,2826.36,3,3,3,333,9,Bronze
262920.0,3364,310,21422.58,3,1,1,311,5,Silver
262941.0,3427,76,4978.079999999999,4,3,3,433,10,Bronze
262962.0,3324,24,1602.6,2,4,4,244,10,Bronze
262983.0,3286,220,14474.94,1,1,1,111,3,Gold
263004.0,3294,288,37271.880000000005,1,1,1,111,3,Gold
263046.0,3285,142,10922.64,1,2,2,122,5,Silver
263067.0,3366,36,2891.76,3,3,3,333,9,Bronze
263088.0,3294,190,15936.899999999998,1,2,1,121,4,Gold
263130.0,3344,136,13480.499999999998,3,2,1,321,6,Silver
263151.0,3299,34,1038.42,1,4,4,144,9,Bronze
263172.0,3315,32,2900.04,2,4,3,243,9,Bronze
263214.0,3415,126,9034.98,3,2,2,322,7,Silver
263235.0,3376,68,5939.76,3,3,2,332,8,Silver
263256.0,3292,546,34079.40000000001,1,1,1,111,3,Gold
263298.0,3314,42,3018.1200000000003,2,3,3,233,8,Silver
263319.0,3307,548,31968.119999999988,2,1,1,211,4,Gold
263340.0,3304,962,110396.51999999999,2,1,1,211,4,Gold
263361.0,3314,104,8144.52,2,2,2,222,6,Silver
263424.0,3314,40,2949.96,2,3,3,233,8,Silver
263445.0,3360,100,8302.02,3,2,2,322,7,Silver
263466.0,3331,140,9471.48,2,2,2,222,6,Silver
263487.0,3482,16,1725.12,4,4,4,444,12,Bronze
263508.0,3451,10,790.56,4,4,4,444,12,Bronze
263550.0,3364,114,8003.879999999999,3,2,2,322,7,Silver
263571.0,3642,20,1395.0,4,4,4,444,12,Bronze
263592.0,3323,40,3627.54,2,3,3,233,8,Silver
263613.0,3293,392,30307.260000000002,1,1,1,111,3,Gold
263676.0,3335,242,5009.219999999999,3,1,3,313,7,Silver
263697.0,3301,66,99425.87999999998,1,3,1,131,5,Silver
263718.0,3286,44,2.842170943040401e-14,1,3,4,134,8,Silver
263739.0,3595,44,4447.5599999999995,4,3,3,433,10,Bronze
263760.0,3290,222,17428.08,1,1,1,111,3,Gold
263781.0,3587,32,1981.1999999999998,4,4,4,444,12,Bronze
263802.0,3293,336,31377.0,1,1,1,111,3,Gold
263844.0,3546,42,3789.0,4,3,3,433,10,Bronze
263865.0,3566,20,1088.16,4,4,4,444,12,Bronze
263886.0,3357,40,2875.08,3,3,3,333,9,Bronze
263907.0,0,926,75589.56,1,1,1,111,3,Gold
263949.0,3287,382,33710.52,1,1,1,111,3,Gold
263991.0,3324,68,4315.68,2,3,3,233,8,Silver
264012.0,3293,124,8329.439999999997,1,2,2,122,5,Silver
264033.0,3512,56,1332.18,4,3,4,434,11,Bronze
264054.0,3600,22,1811.2800000000002,4,4,4,444,12,Bronze
264096.0,3320,178,10849.559999999998,2,2,2,222,6,Silver
264117.0,3320,296,4941.84,2,1,3,213,6,Silver
264138.0,3306,240,22834.32,2,1,1,211,4,Gold
264159.0,3358,62,3406.92,3,3,3,333,9,Bronze
264180.0,3531,48,3450.96,4,3,3,433,10,Bronze
264201.0,3324,30,1641.84,2,4,4,244,10,Bronze
264222.0,3523,44,4242.0,4,3,3,433,10,Bronze
264243.0,3287,502,59679.9,1,1,1,111,3,Gold
264264.0,3288,252,15696.96,1,1,1,111,3,Gold
264285.0,3519,194,16454.579999999994,4,2,1,421,7,Silver
264306.0,3302,24,1493.04,2,4,4,244,10,Bronze
264327.0,3292,8,1195.2,1,4,4,144,9,Bronze
264348.0,3324,20,1781.1599999999999,2,4,4,244,10,Bronze
264369.0,3313,70,5365.2,2,3,3,233,8,Silver
264390.0,3475,140,81784.20000000001,4,2,1,421,7,Silver
264411.0,3602,52,3758.04,4,3,3,433,10,Bronze
264432.0,3377,36,3632.88,3,3,3,333,9,Bronze
264453.0,3393,42,3468.0,3,3,3,333,9,Bronze
264474.0,3322,238,27556.32,2,1,1,211,4,Gold
264516.0,3336,54,5137.8,3,3,3,333,9,Bronze
264537.0,3304,428,30569.76,2,1,1,211,4,Gold
264558.0,3294,266,24927.12,1,1,1,111,3,Gold
264579.0,3314,124,8574.72,2,2,2,222,6,Silver
264600.0,3313,130,21403.08,2,2,1,221,5,Silver
264621.0,3474,58,4723.86,4,3,3,433,10,Bronze
264642.0,3343,24,1270.1999999999998,3,4,4,344,11,Bronze
264663.0,3306,6,6123.6,2,4,2,242,8,Silver
264684.0,3364,32,2109.84,3,4,4,344,11,Bronze
264705.0,3650,6,-62.16,4,4,4,444,12,Bronze
264747.0,3343,404,0.0,3,1,4,314,8,Silver
264789.0,3363,120,9352.800000000001,3,2,2,322,7,Silver
264810.0,3307,222,17070.48,2,1,1,211,4,Gold
264831.0,3337,130,9906.119999999999,3,2,2,322,7,Silver
264852.0,3342,42,5335.4400000000005,3,3,3,333,9,Bronze
264873.0,3316,326,26702.88,2,1,1,211,4,Gold
264894.0,3562,40,2615.4,4,3,3,433,10,Bronze
264915.0,3287,210,19021.68,1,1,1,111,3,Gold
264936.0,3370,72,5451.84,3,3,2,332,8,Silver
264957.0,3314,84,2951.5799999999995,2,3,3,233,8,Silver
264978.0,3306,22,1470.1200000000003,2,4,4,244,10,Bronze
264999.0,3301,190,26704.26,1,2,1,121,4,Gold
265020.0,3299,184,11124.42,1,2,2,122,5,Silver
265041.0,3286,948,112930.68000000001,1,1,1,111,3,Gold
265062.0,3517,22,1493.7599999999998,4,4,4,444,12,Bronze
265083.0,3561,36,2532.48,4,3,3,433,10,Bronze
265104.0,3391,76,5318.759999999998,3,3,3,333,9,Bronze
265125.0,3496,182,21685.8,4,2,1,421,7,Silver
265146.0,3308,614,53001.84,2,1,1,211,4,Gold
265167.0,3295,460,37173.479999999996,1,1,1,111,3,Gold
265188.0,3289,86,6385.439999999999,1,2,2,122,5,Silver
265230.0,3294,128,10542.36,1,2,2,122,5,Silver
265251.0,3342,62,5309.280000000001,3,3,3,333,9,Bronze
265293.0,3343,206,17763.299999999996,3,1,1,311,5,Silver
265335.0,3374,202,14021.4,3,2,1,321,6,Silver
265377.0,3352,788,49377.66,3,1,1,311,5,Silver
265398.0,3318,78,5574.900000000001,2,3,2,232,7,Silver
265419.0,3523,44,4029.6,4,3,3,433,10,Bronze
265440.0,3308,106,9734.82,2,2,2,222,6,Silver
265461.0,3400,20,1540.0800000000002,3,4,4,344,11,Bronze
265482.0,3310,94,8406.0,2,2,2,222,6,Silver
265503.0,3413,48,27741.0,3,3,1,331,7,Silver
265524.0,3414,62,3965.28,3,3,3,333,9,Bronze
265545.0,3318,148,14563.56,2,2,1,221,5,Silver
265566.0,3289,90,11180.76,1,2,2,122,5,Silver
265587.0,0,256,30429.06,1,1,1,111,3,Gold
265608.0,3439,42,2639.88,4,3,3,433,10,Bronze
265629.0,3392,66,5018.04,3,3,3,333,9,Bronze
265650.0,3288,40,2607.3599999999997,1,3,3,133,7,Silver
265671.0,3619,18,946.44,4,4,4,444,12,Bronze
265692.0,3607,102,7584.599999999999,4,2,2,422,8,Silver
265713.0,3433,86,18328.8,4,2,1,421,7,Silver
265734.0,3295,76,4992.119999999999,1,3,3,133,7,Silver
265776.0,3302,260,33020.759999999995,2,1,1,211,4,Gold
265797.0,3296,112,9547.619999999999,1,2,2,122,5,Silver
265818.0,3303,72,5689.2,2,3,2,232,7,Silver
265839.0,3314,10,760.56,2,4,4,244,10,Bronze
265860.0,3296,26,2032.5599999999997,1,4,4,144,9,Bronze
265902.0,3285,464,31672.44,1,1,1,111,3,Gold
265944.0,3293,76,40301.99999999999,1,3,1,131,5,Silver
265965.0,3609,8,512.34,4,4,4,444,12,Bronze
265986.0,3644,4,-1884.48,4,4,4,444,12,Bronze
266007.0,3343,66,5148.72,3,3,3,333,9,Bronze
266028.0,3292,336,31043.340000000004,1,1,1,111,3,Gold
266049.0,3435,204,13343.22,4,2,2,422,8,Silver
266070.0,3295,188,24768.84,1,2,1,121,4,Gold
266112.0,3614,20,1873.7999999999997,4,4,4,444,12,Bronze
266133.0,3290,84,5066.4,1,3,3,133,7,Silver
266154.0,3296,182,15926.759999999998,1,2,1,121,4,Gold
266196.0,3309,90,11042.880000000001,2,2,2,222,6,Silver
266238.0,3327,334,146009.7,2,1,1,211,4,Gold
266259.0,3337,112,8785.86,3,2,2,322,7,Silver
266280.0,3285,104,7157.879999999999,1,2,2,122,5,Silver
266301.0,0,1292,113470.86000000002,1,1,1,111,3,Gold
266322.0,3288,1050,101932.62,1,1,1,111,3,Gold
266343.0,3289,724,68213.34,1,1,1,111,3,Gold
266364.0,3292,210,18954.12,1,1,1,111,3,Gold
266385.0,3313,314,23756.519999999997,2,1,1,211,4,Gold
266406.0,3656,14,739.6799999999998,4,4,4,444,12,Bronze
266448.0,3398,342,40453.68,3,1,1,311,5,Silver
266469.0,3310,144,10349.279999999999,2,2,2,222,6,Silver
266490.0,3490,32,3224.04,4,4,3,443,11,Bronze
266511.0,3313,64,8585.16,2,3,2,232,7,Silver
266553.0,3405,82,6888.719999999999,3,3,2,332,8,Silver
266574.0,3355,74,7212.959999999999,3,3,2,332,8,Silver
266595.0,3292,54,4826.459999999999,1,3,3,133,7,Silver
266637.0,3306,86,7788.419999999999,2,2,2,222,6,Silver
266700.0,3292,540,40380.36,1,1,1,111,3,Gold
266721.0,3364,106,6616.92,3,2,2,322,7,Silver
266742.0,3304,24,1815.24,2,4,4,244,10,Bronze
266763.0,3349,44,2279.6400000000003,3,3,4,334,10,Bronze
266784.0,3292,180,18428.04,1,2,1,121,4,Gold
266805.0,3300,696,56530.73999999999,1,1,1,111,3,Gold
266847.0,3576,66,5003.82,4,3,3,433,10,Bronze
266868.0,3314,348,21702.48,2,1,1,211,4,Gold
266889.0,3288,514,77078.64,1,1,1,111,3,Gold
266910.0,3381,158,9387.66,3,2,2,322,7,Silver
266952.0,3307,284,35155.020000000004,2,1,1,211,4,Gold
266973.0,3285,76,7038.48,1,3,2,132,6,Silver
266994.0,3294,518,39081.24,1,1,1,111,3,Gold
267015.0,3391,42,2938.08,3,3,3,333,9,Bronze
267036.0,3288,138,8745.36,1,2,2,122,5,Silver
267057.0,3436,112,8141.28,4,2,2,422,8,Silver
267078.0,3356,38,1977.9599999999996,3,3,4,334,10,Bronze
267099.0,3290,84,5044.02,1,3,3,133,7,Silver
267120.0,3287,718,47436.59999999999,1,1,1,111,3,Gold
267141.0,3316,328,21807.18,2,1,1,211,4,Gold
267162.0,3370,114,7502.76,3,2,2,322,7,Silver
267183.0,3288,138,6012.66,1,2,2,122,5,Silver
267204.0,3290,106,8555.52,1,2,2,122,5,Silver
267225.0,3656,48,3547.38,4,3,3,433,10,Bronze
267246.0,3313,248,21670.559999999998,2,1,1,211,4,Gold
267267.0,3295,282,32743.860000000004,1,1,1,111,3,Gold
267288.0,3356,92,6935.5199999999995,3,2,2,322,7,Silver
267309.0,3398,52,3755.879999999999,3,3,3,333,9,Bronze
267351.0,3308,554,155892.95999999996,2,1,1,211,4,Gold
267372.0,3464,24,1960.08,4,4,4,444,12,Bronze
267393.0,3519,44,3184.2,4,3,3,433,10,Bronze
267414.0,3637,8,916.8,4,4,4,444,12,Bronze
267435.0,3600,86,6464.28,4,2,2,422,8,Silver
267456.0,3617,8,1940.3999999999999,4,4,4,444,12,Bronze
267498.0,3657,22,1288.8,4,4,4,444,12,Bronze
267519.0,3363,76,8400.539999999999,3,3,2,332,8,Silver
267540.0,3348,54,3549.0,3,3,3,333,9,Bronze
267603.0,3419,268,4532.34,3,1,3,313,7,Silver
267624.0,3336,458,75676.31999999999,3,1,1,311,5,Silver
267687.0,3287,206,34785.780000000006,1,1,1,111,3,Gold
267708.0,0,9284,241337.69999999998,1,1,1,111,3,Gold
267729.0,3288,462,32069.519999999997,1,1,1,111,3,Gold
267750.0,3413,30,2286.3600000000006,3,4,4,344,11,Bronze
267792.0,3366,106,36228.24,3,2,1,321,6,Silver
267813.0,3288,460,174446.4,1,1,1,111,3,Gold
267834.0,3520,130,24538.739999999998,4,2,1,421,7,Silver
267855.0,3534,12,18247.800000000003,4,4,1,441,9,Bronze
267876.0,3371,8,933.12,3,4,4,344,11,Bronze
267897.0,3300,754,35087.39999999999,1,1,1,111,3,Gold
267918.0,3401,194,23167.68,3,2,1,321,6,Silver
267939.0,3337,190,12707.22,3,2,2,322,7,Silver
268002.0,3292,138,15760.199999999999,1,2,1,121,4,Gold
268023.0,3423,36,4103.04,3,3,3,333,9,Bronze
268044.0,3601,90,14038.380000000001,4,2,1,421,7,Silver
268086.0,3288,620,57991.86,1,1,1,111,3,Gold
268149.0,3523,64,9479.64,4,3,2,432,9,Bronze
268170.0,3495,24,11213.52,4,4,2,442,10,Bronze
268212.0,3344,110,7405.799999999999,3,2,2,322,7,Silver
268275.0,3302,134,11217.0,2,2,2,222,6,Silver
268338.0,3304,102,6677.159999999999,2,2,2,222,6,Silver
268359.0,3306,318,32099.159999999996,2,1,1,211,4,Gold
268401.0,3306,60,5881.800000000001,2,3,2,232,7,Silver
268422.0,3289,214,18860.64,1,1,1,111,3,Gold
268443.0,3287,172,13302.72,1,2,2,122,5,Silver
268464.0,3294,118,4766.759999999999,1,2,3,123,6,Silver
268485.0,3287,30,2535.48,1,4,3,143,8,Silver
268527.0,3294,40,3847.0799999999995,1,3,3,133,7,Silver
268569.0,3350,8,760.6800000000001,3,4,4,344,11,Bronze
268590.0,3477,42,2692.92,4,3,3,433,10,Bronze
268611.0,3658,4,1598.76,4,4,4,444,12,Bronze
268632.0,3541,50,3322.8599999999997,4,3,3,433,10,Bronze
268653.0,3619,48,4524.48,4,3,3,433,10,Bronze
268674.0,3338,90,7144.38,3,2,2,322,7,Silver
268695.0,3303,28,3566.7599999999998,2,4,3,243,9,Bronze
268737.0,3645,34,1609.68,4,4,4,444,12,Bronze
268758.0,3295,16,58020.479999999996,1,4,1,141,6,Silver
268842.0,3468,52,3421.8000000000006,4,3,3,433,10,Bronze
268968.0,3321,56,4011.96,2,3,3,233,8,Silver
268989.0,3453,52,4016.16,4,3,3,433,10,Bronze
269031.0,3545,62,4271.039999999999,4,3,3,433,10,Bronze
269052.0,3329,30,1905.3600000000001,2,4,4,244,10,Bronze
269094.0,3386,4,1045.44,3,4,4,344,11,Bronze
269115.0,3432,94,8818.2,4,2,2,422,8,Silver
269136.0,3380,58,4742.28,3,3,3,333,9,Bronze
269157.0,3566,8,1376.6399999999999,4,4,4,444,12,Bronze
269178.0,3463,32,12585.18,4,4,2,442,10,Bronze
269220.0,3288,118,7821.24,1,2,2,122,5,Silver
269241.0,3499,12,769.56,4,4,4,444,12,Bronze
269262.0,3355,94,7624.4400000000005,3,2,2,322,7,Silver
269283.0,3359,10,14572.8,3,4,1,341,8,Silver
269304.0,3344,50,3294.48,3,3,3,333,9,Bronze
269346.0,3287,188,12191.219999999998,1,2,2,122,5,Silver
269367.0,3290,50,3569.0400000000004,1,3,3,133,7,Silver
269388.0,3287,112,8452.68,1,2,2,122,5,Silver
269409.0,3607,24,2104.56,4,4,4,444,12,Bronze
269430.0,3322,78,56258.039999999986,2,3,1,231,6,Silver
269451.0,3547,18,1785.36,4,4,4,444,12,Bronze
269472.0,3317,54,3178.080000000001,2,3,3,233,8,Silver
269493.0,3430,48,3461.1,4,3,3,433,10,Bronze
269514.0,3567,36,2590.0799999999995,4,3,3,433,10,Bronze
269556.0,3344,350,21662.519999999997,3,1,1,311,5,Silver
269577.0,3458,24,1111.3200000000002,4,4,4,444,12,Bronze
269598.0,3318,246,5668.5,2,1,2,212,5,Silver
269619.0,0,632,46372.56,1,1,1,111,3,Gold
269640.0,3428,232,22515.78,4,1,1,411,6,Silver
269661.0,3289,878,32173.32,1,1,1,111,3,Gold
269682.0,3355,68,9279.179999999998,3,3,2,332,8,Silver
269703.0,3350,216,13943.22,3,1,1,311,5,Silver
269724.0,3314,104,2703.66,2,2,3,223,7,Silver
269745.0,3552,54,2940.72,4,3,3,433,10,Bronze
269787.0,3307,182,7244.640000000001,2,2,2,222,6,Silver
269829.0,3316,102,8721.060000000001,2,2,2,222,6,Silver
269871.0,3381,100,1122.2400000000002,3,2,4,324,9,Bronze
269892.0,3575,40,2488.5599999999995,4,3,3,433,10,Bronze
269913.0,3392,168,15610.08,3,2,1,321,6,Silver
269934.0,3363,230,10698.119999999999,3,1,2,312,6,Silver
269955.0,3657,6,316.8,4,4,4,444,12,Bronze
269976.0,3292,634,17942.039999999997,1,1,1,111,3,Gold
269997.0,3495,92,9172.199999999999,4,2,2,422,8,Silver
270123.0,3337,12,4180.92,3,4,3,343,10,Bronze
270144.0,3423,6,1226.1599999999999,3,4,4,344,11,Bronze
270165.0,3311,192,12845.16,2,2,2,222,6,Silver
270186.0,3568,52,4634.4,4,3,3,433,10,Bronze
270207.0,3311,1102,33081.9,2,1,1,211,4,Gold
270228.0,3470,214,13335.36,4,1,2,412,7,Silver
270270.0,3651,4,-123.47999999999999,4,4,4,444,12,Bronze
270291.0,3369,22,3155.0400000000013,3,4,3,343,10,Bronze
270312.0,3611,132,4979.9400000000005,4,2,3,423,9,Bronze
270333.0,3567,8,3097.4399999999996,4,4,3,443,11,Bronze
270375.0,3428,4,2907.3599999999997,4,4,3,443,11,Bronze
270396.0,3342,170,18399.24,3,2,1,321,6,Silver
270417.0,3288,308,12754.02,1,1,2,112,4,Gold
270438.0,3303,98,6984.12,2,2,2,222,6,Silver
270459.0,3329,24,4582.320000000001,2,4,3,243,9,Bronze
270501.0,3560,14,2468.0400000000004,4,4,3,443,11,Bronze
270522.0,3294,26,12126.0,1,4,2,142,7,Silver
270543.0,3309,84,5831.28,2,3,2,232,7,Silver
270564.0,3373,14,2561.1600000000003,3,4,3,343,10,Bronze
270585.0,3348,144,9608.4,3,2,2,322,7,Silver
270606.0,3352,172,11212.260000000002,3,2,2,322,7,Silver
270648.0,3499,14,2598.96,4,4,3,443,11,Bronze
270690.0,3309,164,3157.92,2,2,3,223,7,Silver
270711.0,3470,6,2745.0,4,4,3,443,11,Bronze
270753.0,3315,68,1561.4999999999998,2,3,4,234,9,Bronze
270795.0,3327,48,2882.16,2,3,3,233,8,Silver
270837.0,3489,8,1798.56,4,4,4,444,12,Bronze
270921.0,3293,250,135293.94,1,1,1,111,3,Gold
270942.0,3549,20,1149.7200000000003,4,4,4,444,12,Bronze
270984.0,3303,144,4229.9400000000005,2,2,3,223,7,Silver
271026.0,3296,126,24228.719999999998,1,2,1,121,4,Gold
271068.0,3343,8,2052.0,3,4,4,344,11,Bronze
271089.0,3324,192,17663.52,2,2,1,221,5,Silver
271110.0,3308,150,25497.72,2,2,1,221,5,Silver
271152.0,3287,48,13787.4,1,3,1,131,5,Silver
271173.0,3289,100,20596.56,1,2,1,121,4,Gold
271215.0,3433,44,3014.52,4,3,3,433,10,Bronze
271236.0,3423,218,24727.140000000003,3,1,1,311,5,Silver
271257.0,3413,4,4924.8,3,4,3,343,10,Bronze
271299.0,3293,104,10796.279999999999,1,2,2,122,5,Silver
271320.0,3302,56,1361.6999999999998,2,3,4,234,9,Bronze
271341.0,3288,1482,136017.9,1,1,1,111,3,Gold
271362.0,3446,56,3365.7599999999998,4,3,3,433,10,Bronze
